gene_symbol,Tm
ALYREF,55.981850503154305
AMACR,51.43640875495285
AMBP,56.52644578261795
AMBRA1,47.2368082388576
AMD1,51.7583739589423
AMDHD1,55.8708360659771
AMDHD2,55.3047931832818
AMFR,50.5646487906552
AMMECR1,45.1615099298802
AMN,53.0524951353861
AMN1,50.824591457210005
AMOT,49.09457003687755
AMOTL2,47.78553442549445
AMPD2,57.1500183550169
AMPD3,53.8645506001153
AMPH,53.489976323183
AMT,51.526322840357196
AMY1B,56.02264103142055
AMZ2,48.45278904499
ANAPC1,50.3642801100667
ANAPC10,50.7322995127224
ANAPC11,52.26940397537025
ANAPC13,56.3251066364004
ANAPC16,49.9330690810208
ANAPC2,49.7001490039688
ANAPC4,51.6583177656684
ANAPC5,50.2612803269294
ANAPC7,49.703035984914
ANGEL2,47.5617926370436
ANGPT2,55.7925786074327
ANGPTL1,54.779836950002846
ANGPTL2,53.3580063013521
ANK1,43.3323193304699
ANK2,52.7667304458991
ANK3,50.2090501263815
ANKFY1,45.7581475258241
ANKH,62.16458640339905
ANKHD1,44.92173308161615
ANKHD1-EIF4EBP3,44.3485594170073
ANKIB1,48.56157135342025
ANKLE1,48.7192671793948
ANKLE2,42.4103118924659
ANKMY2,49.8924598811055
ANKRD10,45.5484410647762
ANKRD11,46.2544223716654
ANKRD13A,49.8720903505527
ANKRD13D,47.8199715016814
ANKRD16,44.7748008264593
ANKRD17,47.2525842671868
ANKRD2,50.7873423124113
ANKRD22,48.73406806666405
ANKRD27,45.36059591298705
ANKRD28,52.0368143518956
ANKRD39,42.8526594686367
ANKRD40,47.51488306758225
ANKRD44,51.634179909391
ANKRD46,55.1472455919783
ANKRD49,52.4690214672024
ANKRD50,46.9138844712274
ANKRD52,47.9048417043561
ANKRD54,49.8255667806635
ANKRD57,48.23161652017315
ANKRD58,49.04564611889515
ANKS1A,45.422871932742
ANKS3,46.54898942321745
ANKS6,49.1087281286702
ANKZF1,48.1902747693469
ANLN,45.8285958003674
ANO10,52.95157134067655
ANO6,55.6054163539373
ANO8,55.674784635120346
ANP32A,56.2938009499467
ANP32B,52.6279306154728
ANP32D,55.1119352888386
ANP32E,44.501647762459
ANPEP,59.3170286169431
ANTXR1,57.4723563123666
ANTXR2,58.373462484241
ANXA1,48.7546466404185
ANXA11,48.1120353491196
ANXA2,53.2730498178037
ANXA3,52.3981537312029
ANXA4,48.8683902931268
ANXA5,48.7774833898139
ANXA6,49.7870223528266
ANXA7,50.8270908891019
ANXA8,47.40250078292905
AOF1,47.6193807390278
AOX1,49.249656462097946
AP1B1,49.1967236570038
AP1G1,47.8832787431631
AP1G2,46.1541136593754
AP1GBP1,49.1764919917447
AP1M1,49.269699137964
AP1M2,50.595431522806805
AP1S1,48.1225126444462
AP1S2,48.0896910267881
AP1S3,48.1085394241865
AP2A1,51.1163369323294
AP2A2,51.1433633616965
AP2B1,51.2216398325179
AP2M1,51.9084517727345
AP2S1,50.5795660987318
AP3B1,49.5585165975942
AP3B2,48.4777281799491
AP3D1,49.8913580579415
AP3M1,49.8260675578698
AP3M2,50.2958277399744
AP3S1,49.8989266361544
AP3S2,49.70025723641195
AP4B1,46.1647684222685
AP4E1,45.8289222905292
AP4S1,48.9539134148342
AP5Z1,54.48734879768065
APAF1,47.9652736727526
APBA1,51.8797199957467
APBA2,45.4602660174192
APBA3,45.9168579578577
APBB1,47.6282106183895
APBB1IP,52.1880736880333
APBB2,52.372517702655
APC,50.5176692467924
APEH,61.4233015137006
APEX1,49.8665218334226
APEX2,45.8268416162065
APH1A,58.783351449801
APH1B,57.9736503266436
API5,54.0900259954329
APIP,62.1143164541132
APITD1,50.7050216872296
APLP2,55.17933369612325
APMAP,56.7160190734037
APOA1,59.671176034621794
APOA1BP,62.04458582901205
APOA2,57.294615208506
APOB,58.4690717705009
